last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Tatis Jr., Fernando,665487,2020,117,72,.317,.311,.006,.731,.689,.042,.453,.442,.011
Fletcher, David,664058,2020,116,91,.304,.283,.021,.461,.357,.104,.352,.320,.032
Semien, Marcus,543760,2020,115,79,.222,.191,.031,.352,.329,.023,.266,.249,.017
Machado, Manny,592518,2020,114,76,.222,.285,-.063,.455,.507,-.052,.317,.366,-.049
Nimmo, Brandon,607043,2020,114,66,.261,.285,-.024,.489,.488,.001,.395,.410,-.015
Yastrzemski, Mike,573262,2020,114,70,.319,.254,.065,.660,.512,.148,.444,.378,.066
Conforto, Michael,624424,2020,113,67,.312,.283,.029,.495,.499,-.004,.400,.392,.008
Grisham, Trent,663757,2020,112,65,.250,.265,-.015,.446,.527,-.081,.356,.392,-.036
Alonso, Pete,624413,2020,112,62,.247,.232,.015,.441,.437,.004,.344,.342,.002
Crawford, J.P.,641487,2020,110,77,.234,.275,-.041,.287,.398,-.111,.283,.352,-.069
Bellinger, Cody,641355,2020,110,82,.178,.259,-.081,.347,.451,-.104,.246,.324,-.078
Olson, Matt,621566,2020,109,64,.165,.254,-.089,.429,.527,-.098,.312,.385,-.073
Muncy, Max,571970,2020,109,63,.176,.224,-.048,.396,.512,-.116,.301,.363,-.062
Story, Trevor,596115,2020,108,79,.299,.302,-.003,.588,.608,-.020,.393,.405,-.012
Turner, Justin,457759,2020,108,76,.287,.306,-.019,.436,.591,-.155,.347,.411,-.064
Altuve, Jose,514888,2020,108,77,.180,.223,-.043,.290,.326,-.036,.233,.271,-.038
Betts, Mookie,605141,2020,108,83,.306,.293,.013,.653,.561,.092,.417,.387,.030
Lewis, Kyle,641786,2020,108,68,.351,.283,.068,.521,.488,.033,.402,.367,.035
Chapman, Matt,656305,2020,108,68,.238,.255,-.017,.525,.549,-.024,.326,.349,-.023
Bregman, Alex,608324,2020,107,77,.272,.284,-.012,.500,.448,.052,.366,.362,.004
Ramirez, Jose,608070,2020,107,72,.256,.266,-.010,.500,.499,.001,.363,.373,-.010
Abreu, Jose,547989,2020,107,76,.277,.267,.010,.485,.496,-.011,.336,.342,-.006
Alberto, Hanser,593643,2020,107,87,.324,.261,.063,.500,.371,.129,.353,.286,.067
Gurriel, Yuli,493329,2020,106,83,.298,.285,.013,.553,.475,.078,.382,.355,.027
Seager, Kyle,572122,2020,106,81,.303,.304,-.001,.528,.537,-.009,.383,.400,-.017
Lindor, Francisco,596019,2020,106,76,.227,.248,-.021,.402,.397,.005,.293,.307,-.014
Merrifield, Whit,593160,2020,106,82,.302,.270,.032,.510,.433,.077,.365,.329,.036
Canha, Mark,592192,2020,105,58,.274,.249,.025,.452,.488,-.036,.367,.372,-.005
Hernandez, Cesar,514917,2020,105,67,.267,.239,.028,.356,.329,.027,.321,.307,.014
Ozuna, Marcell,542303,2020,105,60,.261,.269,-.008,.489,.500,-.011,.357,.371,-.014
Swanson, Dansby,621020,2020,105,69,.303,.296,.007,.465,.484,-.019,.342,.350,-.008
Santander, Anthony,623993,2020,104,85,.299,.315,-.016,.701,.602,.099,.419,.398,.021
Marte, Ketel,606466,2020,104,87,.337,.311,.026,.429,.462,-.033,.333,.346,-.013
Santana, Carlos,467793,2020,103,58,.197,.261,-.064,.342,.470,-.128,.345,.407,-.062
Soler, Jorge,624585,2020,103,55,.253,.260,-.007,.462,.540,-.078,.334,.366,-.032
Freeman, Freddie,518692,2020,103,70,.287,.325,-.038,.529,.594,-.065,.387,.429,-.042
Moncada, Yoan,660162,2020,103,63,.272,.229,.043,.478,.456,.022,.344,.324,.020
Blackmon, Charlie,453568,2020,103,81,.426,.354,.072,.617,.566,.051,.450,.406,.044
Polanco, Jorge,593871,2020,102,85,.284,.292,-.008,.358,.434,-.076,.298,.333,-.035
Rizzo, Anthony,519203,2020,101,60,.231,.267,-.036,.449,.413,.036,.374,.381,-.007
Cruz, Nelson,443558,2020,101,63,.337,.297,.040,.652,.614,.038,.437,.413,.024
Davis, J.D.,605204,2020,100,58,.284,.282,.002,.457,.507,-.050,.372,.393,-.021
Marte, Starling,516782,2020,100,73,.349,.284,.065,.488,.478,.010,.391,.366,.025
Diaz, Yandy,650490,2020,99,69,.268,.242,.026,.293,.302,-.009,.315,.315,.000
Calhoun, Kole,594777,2020,99,65,.239,.277,-.038,.534,.577,-.043,.355,.391,-.036
Arenado, Nolan,571448,2020,99,86,.225,.258,-.033,.449,.496,-.047,.292,.327,-.035
Nunez, Renato,600524,2020,99,62,.284,.243,.041,.523,.455,.068,.365,.327,.038
Peralta, David,444482,2020,98,77,.318,.302,.016,.455,.448,.007,.355,.354,.001
Hiura, Keston,669374,2020,98,56,.247,.209,.038,.472,.438,.034,.321,.305,.016
Walker, Christian,572233,2020,98,69,.278,.297,-.019,.422,.547,-.125,.325,.379,-.054
Martinez, J.D.,502110,2020,97,62,.244,.245,-.001,.419,.489,-.070,.317,.344,-.027
Escobar, Eduardo,500871,2020,97,68,.186,.278,-.092,.291,.430,-.139,.233,.330,-.097
Devers, Rafael,646240,2020,97,65,.231,.259,-.028,.407,.439,-.032,.290,.321,-.031
Lowe, Brandon,664040,2020,97,64,.337,.303,.034,.744,.719,.025,.466,.447,.019
Baez, Javier,595879,2020,97,57,.189,.211,-.022,.344,.354,-.010,.247,.270,-.023
Kepler, Max,596146,2020,97,66,.220,.241,-.021,.488,.474,.014,.342,.353,-.011
Rosario, Eddie,592696,2020,96,74,.218,.204,.014,.460,.384,.076,.311,.284,.027
Correa, Carlos,621043,2020,96,66,.321,.293,.028,.488,.487,.001,.376,.369,.007
Turner, Trea,607208,2020,96,74,.291,.309,-.018,.500,.515,-.015,.357,.380,-.023
Franco, Maikel,596748,2020,96,73,.253,.274,-.021,.505,.452,.053,.322,.323,-.001
Pham, Tommy,502054,2020,95,61,.207,.259,-.052,.293,.471,-.178,.277,.360,-.083
Long Jr., Shed,643418,2020,95,61,.174,.205,-.031,.256,.315,-.059,.229,.267,-.038
Robert, Luis,673357,2020,95,55,.276,.262,.014,.517,.560,-.043,.353,.365,-.012
Biggio, Cavan,624415,2020,95,62,.235,.232,.003,.494,.415,.079,.355,.334,.021
Trout, Mike,545361,2020,94,61,.277,.310,-.033,.651,.691,-.040,.394,.441,-.047
Tucker, Kyle,663656,2020,93,64,.227,.243,-.016,.455,.431,.024,.287,.294,-.007
Yelich, Christian,592885,2020,93,49,.205,.260,-.055,.500,.525,-.025,.349,.387,-.038
Reddick, Josh,502210,2020,93,67,.265,.299,-.034,.410,.440,-.030,.321,.352,-.031
Schoop, Jonathan,570731,2020,93,64,.271,.242,.029,.471,.403,.068,.321,.294,.027
Rendon, Anthony,543685,2020,93,54,.268,.270,-.002,.577,.512,.065,.420,.406,.014
Perez, Salvador,521692,2020,92,74,.307,.359,-.052,.511,.648,-.137,.347,.431,-.084
Ahmed, Nick,605113,2020,92,65,.286,.260,.026,.440,.422,.018,.337,.326,.011
White, Evan,657108,2020,92,44,.133,.175,-.042,.313,.375,-.062,.222,.282,-.060
Castellanos, Nick,592206,2020,91,54,.272,.308,-.036,.691,.703,-.012,.419,.443,-.024
Myers, Wil,571976,2020,91,55,.272,.305,-.033,.593,.617,-.024,.387,.417,-.030
Reyes, Franmil,614177,2020,91,61,.301,.296,.005,.518,.559,-.041,.363,.397,-.034
Gallo, Joey,608336,2020,91,44,.216,.258,-.042,.554,.572,-.018,.377,.403,-.026
Jimenez, Eloy,650391,2020,91,64,.253,.278,-.025,.517,.556,-.039,.323,.366,-.043
Mondesi, Adalberto,609275,2020,91,59,.227,.211,.016,.307,.340,-.033,.241,.253,-.012
Cabrera, Miguel,408234,2020,91,62,.190,.294,-.104,.354,.486,-.132,.278,.368,-.090
Laureano, Ramon,657656,2020,91,43,.239,.207,.032,.423,.366,.057,.351,.328,.023
Verdugo, Alex,657077,2020,90,61,.284,.237,.047,.531,.408,.123,.367,.312,.055
Profar, Jurickson,595777,2020,90,66,.205,.276,-.071,.372,.424,-.052,.294,.348,-.054
Bogaerts, Xander,593428,2020,90,61,.263,.285,-.022,.463,.544,-.081,.335,.376,-.041
Schwarber, Kyle,656941,2020,90,42,.227,.204,.023,.427,.430,-.003,.335,.331,.004
Happ, Ian,664023,2020,90,49,.315,.274,.041,.671,.551,.120,.449,.399,.050
Solano, Donovan,456781,2020,90,70,.386,.312,.074,.530,.489,.041,.402,.359,.043
Taylor, Chris,621035,2020,90,53,.260,.255,.005,.364,.436,-.072,.324,.351,-.027
La Stella, Tommy,600303,2020,89,72,.289,.291,-.002,.500,.508,-.008,.372,.379,-.007
McMahon, Ryan,641857,2020,89,45,.208,.176,.032,.390,.320,.070,.297,.269,.028
Guerrero Jr., Vladimir,665489,2020,89,66,.222,.245,-.023,.383,.417,-.034,.290,.319,-.029
Torres, Gleyber,650402,2020,89,59,.237,.232,.005,.303,.332,-.029,.297,.309,-.012
Contreras, Willson,575929,2020,87,42,.225,.267,-.042,.394,.538,-.144,.325,.393,-.068
Flores, Wilmer,527038,2020,87,74,.301,.303,-.002,.506,.467,.039,.344,.336,.008
Goodrum, Niko,592348,2020,87,50,.205,.214,-.009,.423,.439,-.016,.276,.294,-.018
Solak, Nick,669256,2020,87,61,.280,.304,-.024,.387,.446,-.059,.338,.374,-.036
Seager, Corey,608369,2020,87,71,.296,.378,-.082,.580,.803,-.223,.382,.501,-.119
Hernandez, Teoscar,606192,2020,86,60,.277,.302,-.025,.590,.642,-.052,.356,.389,-.033
Suarez, Eugenio,553993,2020,86,46,.141,.202,-.061,.296,.404,-.108,.267,.330,-.063
Gonzalez, Marwin,503556,2020,86,62,.247,.250,-.003,.377,.388,-.011,.290,.302,-.012
Pillar, Kevin,607680,2020,86,59,.291,.245,.046,.468,.374,.094,.346,.299,.047
Urshela, Gio,570482,2020,86,62,.243,.312,-.069,.459,.563,-.104,.329,.398,-.069
Adames, Willy,642715,2020,85,45,.293,.260,.033,.507,.429,.078,.372,.338,.034
Frazier, Adam,624428,2020,85,65,.175,.257,-.082,.300,.407,-.107,.226,.306,-.080
Frazier, Todd,453943,2020,84,58,.284,.267,.017,.459,.482,-.023,.355,.360,-.005
Grossman, Robbie,543257,2020,84,51,.292,.272,.020,.615,.509,.106,.439,.408,.031
Pollock, AJ,572041,2020,84,60,.282,.261,.021,.538,.482,.056,.361,.339,.022
Moore, Dylan,664238,2020,84,51,.297,.302,-.005,.568,.569,-.001,.395,.403,-.008
Cabrera, Asdrubal,452678,2020,84,62,.280,.281,-.001,.573,.501,.072,.375,.360,.015
Springer, George,543807,2020,83,52,.215,.272,-.057,.431,.534,-.103,.336,.394,-.058
Eaton, Adam,594809,2020,83,57,.240,.218,.022,.347,.334,.013,.284,.273,.011
Bell, Josh,605137,2020,83,51,.197,.229,-.032,.303,.372,-.069,.233,.277,-.044
Garcia, Avisail,541645,2020,83,53,.247,.283,-.036,.397,.477,-.080,.315,.363,-.048
Andrus, Elvis,462101,2020,82,66,.184,.261,-.077,.250,.440,-.190,.220,.325,-.105
Villar, Jonathan,542340,2020,82,56,.233,.212,.021,.356,.335,.021,.276,.268,.008
Smoak, Justin,475253,2020,81,48,.200,.193,.007,.360,.287,.073,.257,.234,.023
Choo, Shin-Soo,425783,2020,81,52,.211,.274,-.063,.366,.538,-.172,.281,.370,-.089
Votto, Joey,458015,2020,81,58,.227,.278,-.051,.394,.467,-.073,.333,.382,-.049
Hoskins, Rhys,656555,2020,80,42,.207,.253,-.046,.328,.464,-.136,.352,.409,-.057
Dahl, David,621311,2020,80,54,.189,.209,-.020,.243,.317,-.074,.213,.253,-.040
Gurriel Jr., Lourdes,666971,2020,80,60,.250,.263,-.013,.342,.369,-.027,.263,.286,-.023
Piscotty, Stephen,572039,2020,80,53,.239,.255,-.016,.465,.480,-.015,.320,.338,-.018
Rosario, Amed,642708,2020,80,60,.213,.245,-.032,.338,.384,-.046,.229,.270,-.041
Ruiz, Rio,547004,2020,79,50,.217,.196,.021,.507,.367,.140,.325,.275,.050
Harper, Bryce,547180,2020,79,51,.349,.337,.012,.667,.715,-.048,.466,.481,-.015
LeMahieu, DJ,518934,2020,79,66,.411,.353,.058,.534,.472,.062,.423,.386,.037
Ramos, Wilson,467092,2020,79,57,.211,.239,-.028,.296,.400,-.104,.254,.309,-.055
Vazquez, Christian,543877,2020,79,53,.250,.209,.041,.447,.343,.104,.303,.254,.049
Kiner-Falefa, Isiah,643396,2020,79,56,.254,.258,-.004,.338,.336,.002,.294,.302,-.008
Hicks, Aaron,543305,2020,79,49,.222,.253,-.031,.444,.440,.004,.351,.368,-.017
Sanchez, Gary,596142,2020,79,35,.132,.150,-.018,.368,.350,.018,.268,.272,-.004
McNeil, Jeff,643446,2020,78,58,.269,.304,-.035,.328,.437,-.109,.290,.356,-.066
Voit, Luke,572228,2020,78,46,.290,.311,-.021,.696,.703,-.007,.431,.445,-.014
Reynolds, Bryan,668804,2020,78,44,.176,.232,-.056,.294,.394,-.100,.258,.316,-.058
Ohtani, Shohei,660271,2020,78,52,.183,.246,-.063,.408,.486,-.078,.280,.340,-.060
Camargo, Johan,622666,2020,78,48,.192,.198,-.006,.370,.352,.018,.260,.264,-.004
Peraza, Jose,606299,2020,78,64,.233,.244,-.011,.329,.386,-.057,.265,.293,-.028
Grandal, Yasmani,518735,2020,78,39,.222,.212,.010,.317,.353,-.036,.298,.313,-.015
Choi, Ji-Man,596847,2020,78,42,.179,.183,-.004,.358,.317,.041,.276,.275,.001
Goodwin, Brian,571718,2020,78,49,.286,.238,.048,.571,.469,.102,.384,.333,.051
Acuna Jr., Ronald,660670,2020,78,41,.258,.258,.000,.515,.540,-.025,.373,.382,-.009
Moran, Colin,592567,2020,77,49,.214,.308,-.094,.486,.643,-.157,.320,.423,-.103
Kiermaier, Kevin,595281,2020,77,47,.235,.272,-.037,.338,.386,-.048,.292,.333,-.041
Smith, Dominic,642086,2020,77,51,.323,.266,.057,.754,.620,.134,.456,.395,.061
Hays, Austin,669720,2020,77,55,.203,.219,-.016,.246,.329,-.083,.236,.280,-.044
Aguilar, Jesus,542583,2020,77,60,.286,.287,-.001,.500,.488,.012,.331,.334,-.003
Pederson, Joc,592626,2020,77,49,.164,.241,-.077,.343,.472,-.129,.264,.345,-.081
Murphy, Daniel,502517,2020,76,56,.282,.246,.036,.437,.412,.025,.316,.299,.017
Gordon, Alex,460086,2020,76,53,.174,.219,-.045,.290,.363,-.073,.239,.289,-.050
Crawford, Brandon,543063,2020,76,54,.246,.276,-.030,.348,.439,-.091,.291,.341,-.050
Longoria, Evan,446334,2020,76,60,.254,.296,-.042,.433,.579,-.146,.305,.397,-.092
Severino, Pedro,600474,2020,76,56,.338,.298,.040,.618,.538,.080,.421,.381,.040
Sano, Miguel,593934,2020,76,33,.191,.186,.005,.456,.440,.016,.300,.297,.003
Realmuto, J.T.,592663,2020,75,48,.275,.268,.007,.652,.612,.040,.399,.385,.014
Hampson, Garrett,641658,2020,75,49,.277,.292,-.015,.431,.494,-.063,.328,.365,-.037
Lopes, Tim,621005,2020,74,55,.246,.260,-.014,.362,.352,.010,.285,.294,-.009
Candelario, Jeimer,600869,2020,74,48,.257,.280,-.023,.486,.464,.022,.323,.335,-.012
Gregorius, Didi,544369,2020,74,61,.299,.282,.017,.478,.443,.035,.340,.329,.011
Arraez, Luis,650333,2020,74,56,.277,.292,-.015,.308,.449,-.141,.296,.369,-.073
Nola, Austin,543592,2020,74,55,.279,.285,-.006,.515,.481,.034,.356,.352,.004
Bradley Jr., Jackie,598265,2020,74,49,.242,.186,.056,.303,.246,.057,.272,.239,.033
Newman, Kevin,621028,2020,73,62,.275,.283,-.008,.362,.376,-.014,.288,.302,-.014
Anderson, Brian,605119,2020,73,42,.226,.247,-.021,.452,.452,.000,.339,.354,-.015
Tsutsugo, Yoshi,660294,2020,73,47,.194,.231,-.037,.371,.444,-.073,.291,.335,-.044
Hernandez, Enrique,571771,2020,72,50,.235,.210,.025,.397,.309,.088,.285,.250,.035
Riley, Austin,663586,2020,72,44,.167,.212,-.045,.318,.419,-.101,.230,.291,-.061
Jones, JaCoby,592444,2020,72,45,.277,.259,.018,.615,.497,.118,.393,.352,.041
Pujols, Albert,405395,2020,71,53,.209,.250,-.041,.373,.404,-.031,.259,.296,-.037
Maldonado, Martin,455117,2020,71,36,.241,.204,.037,.431,.345,.086,.348,.311,.037
Upton, Justin,457708,2020,71,39,.094,.145,-.051,.188,.244,-.056,.162,.221,-.059
Renfroe, Hunter,592669,2020,71,46,.194,.230,-.036,.452,.461,-.009,.305,.332,-.027
Buxton, Byron,621439,2020,71,50,.221,.228,-.007,.456,.470,-.014,.274,.287,-.013
Winker, Jesse,608385,2020,71,40,.357,.347,.010,.732,.703,.029,.498,.491,.007
Sogard, Eric,519299,2020,71,49,.200,.280,-.080,.233,.324,-.091,.264,.333,-.069
Bryant, Kris,592178,2020,70,42,.177,.204,-.027,.323,.349,-.026,.262,.287,-.025
Grichuk, Randal,545341,2020,70,50,.344,.318,.026,.656,.627,.029,.434,.418,.016
Robles, Victor,645302,2020,70,39,.267,.212,.055,.367,.307,.060,.329,.292,.037
Heyward, Jason,518792,2020,69,48,.271,.337,-.066,.441,.548,-.107,.343,.410,-.067
Galvis, Freddy,520471,2020,69,50,.242,.236,.006,.484,.448,.036,.337,.329,.008
Smith, Dwight,596105,2020,69,44,.233,.218,.015,.383,.355,.028,.297,.289,.008
Inciarte, Ender,542255,2020,69,54,.226,.259,-.033,.258,.324,-.066,.257,.301,-.044
Dickerson, Alex,543105,2020,69,48,.222,.232,-.010,.365,.438,-.073,.282,.317,-.035
Judge, Aaron,592450,2020,68,44,.290,.299,-.009,.758,.711,.047,.440,.432,.008
McCutchen, Andrew,457705,2020,68,51,.210,.274,-.064,.290,.387,-.097,.243,.316,-.073
Reyes, Victor,622682,2020,68,49,.266,.310,-.044,.375,.463,-.088,.294,.354,-.060
